# C3S1 C3P2 C1S0 Ct1S0pp Ct1S0nn C3P0 C3P1 Ct1S0np cE CE1 Ct3S1 c3 c1 cD C1P1 c4 
1.030545840098891386e+00 -8.257495665434975152e-01 2.361813036717925751e+00 -1.565038921581195508e-01 -1.571800358956953747e-01 1.535945470000938062e+00 -1.132269560937245068e+00 -1.568006575564985516e-01 -1.286582832933496068e-01 5.434677544229108426e-01 -1.772578125743484723e-01 -4.254572440814202494e+00 -1.099158505032969080e+00 5.814183711911189434e-01 5.595188403187245640e-01 4.054856291767599430e+00
1.085969724704114014e+00 -8.107147736639284119e-01 2.749433334953900854e+00 -1.603004401766073284e-01 -1.603454072747228787e-01 1.289702881542994506e+00 -1.246659712472673265e+00 -1.607460345681624159e-01 1.889189900157961510e-01 5.795873750157012338e-01 -1.782742802752208255e-01 -3.565832306623839099e+00 -1.086256045622788768e+00 1.220327452422108827e+00 5.475677871892158377e-01 3.587328798343319747e+00
9.426495158866959878e-01 -7.523144577203024763e-01 2.454541294463997936e+00 -1.609828522334393608e-01 -1.612192660351902673e-01 1.520408402476323806e+00 -1.028693885926020402e+00 -1.615985794696472577e-01 -2.114316311972695983e-01 6.178160691093876888e-01 -1.798382078642847548e-01 -4.066136638477000353e+00 -1.118179380818558055e+00 1.082436170455959967e+00 5.450424232584906159e-01 3.934280851403693102e+00
9.681247664527795616e-01 -7.839346718186912533e-01 2.477013389586585568e+00 -1.554821054567069871e-01 -1.561341797525908071e-01 1.263604692148906583e+00 -1.137096831181098278e+00 -1.563814062243282510e-01 7.026902180453513669e-01 6.131913547044984814e-01 -1.787618150797624095e-01 -3.587122032672806160e+00 -1.026883346917792261e+00 7.959568761419230087e-01 5.247544399047168184e-01 3.529902290620986705e+00
9.688303569833729423e-01 -7.747105428204651423e-01 2.348557558552811120e+00 -1.561638639528189487e-01 -1.568215489052734724e-01 1.329388773560570947e+00 -1.109569789567233178e+00 -1.567996704218101167e-01 -5.955479870036731738e-01 5.720603287264660608e-01 -1.764208896414153072e-01 -4.007597104970155755e+00 -1.078685055070629284e+00 6.163671154307935884e-01 5.345714442663493937e-01 3.869378196411852322e+00
9.256250601779454357e-01 -7.949968683848240847e-01 2.780240412301374420e+00 -1.619336146584175740e-01 -1.614345561551313868e-01 1.282795210643764339e+00 -1.102615051681107516e+00 -1.614072184315885339e-01 -2.317248024225651015e-01 6.257412380583815548e-01 -1.773696799402472435e-01 -4.145058889265071045e+00 -1.044684564065607724e+00 2.918195701861265312e-01 5.110478414087380461e-01 3.721522247273997053e+00
9.777973720364210308e-01 -8.700864890655201078e-01 2.327962437408467089e+00 -1.618497201163177079e-01 -1.622703734326770841e-01 1.413276858493436983e+00 -1.053618388330572309e+00 -1.612782740176413876e-01 4.628136413454402298e-01 5.753818803018786454e-01 -1.767135249934227714e-01 -4.112185739875878099e+00 -1.183653584587253782e+00 8.410649547557054184e-01 5.958187828433966216e-01 3.508294404243912368e+00
9.158360485356752401e-01 -7.567193629632189555e-01 2.717193806091760422e+00 -1.609416622758932103e-01 -1.604507641062729306e-01 1.425976667194305048e+00 -1.119099049184999917e+00 -1.607086456142556852e-01 -3.988020626930215418e-01 5.628777765605280647e-01 -1.775478492073586101e-01 -4.086831324109473584e+00 -1.198259581696638376e+00 4.828362978349047263e-01 6.003317019425720158e-01 4.111426468822312330e+00
1.062849158496511404e+00 -8.585994479085383713e-01 2.337249571557344918e+00 -1.549766702525162687e-01 -1.555262705172281434e-01 1.466491726129428796e+00 -1.078073259303269360e+00 -1.557273131339853289e-01 5.817760492840988729e-01 5.912757282276028814e-01 -1.792684437376925177e-01 -4.308786214563600225e+00 -1.221943433151535752e+00 9.014720767199195794e-01 5.235296720046007657e-01 3.538077283280766760e+00
9.641199781336637908e-01 -7.366021164690391698e-01 2.641255687990347489e+00 -1.594167397863437696e-01 -1.599568659133381032e-01 1.402053598453482097e+00 -1.177407431730368881e+00 -1.595336381828993400e-01 6.324491255814168600e-01 5.958499512240895690e-01 -1.779782420468235815e-01 -3.721846467659864377e+00 -1.184768755394177031e+00 1.248534953630066890e-01 5.646435488756841314e-01 4.099646959976542604e+00
1.094172428014730691e+00 -8.211058177942071046e-01 2.520124590726072533e+00 -1.553778152956667713e-01 -1.557705273927412759e-01 1.369136294042315294e+00 -1.133582218046744083e+00 -1.560330819077551112e-01 -8.227484617835558733e-01 6.363775019719709602e-01 -1.759992231146888797e-01 -3.569886334687696561e+00 -1.225651926286503324e+00 1.105114461593327047e+00 5.030677658585022138e-01 3.421408414762380445e+00
9.141196994846585433e-01 -8.339045185618164657e-01 2.300918833391709661e+00 -1.580344544907313353e-01 -1.579973890671658165e-01 1.453916967278912065e+00 -1.115628731777219107e+00 -1.582804696748963125e-01 -6.719940778484595478e-01 6.505397996106523362e-01 -1.795262730304621190e-01 -3.549142996646635240e+00 -1.137227234366897877e+00 1.001521233526046162e+00 5.672514781275667106e-01 3.591860389421494659e+00
9.061794857037038797e-01 -8.037149301552036773e-01 2.368022567874393136e+00 -1.633472464803113755e-01 -1.629541314086384862e-01 1.383793423633891795e+00 -1.082595818715879732e+00 -1.626985254912400591e-01 -4.920263168453876124e-01 6.225865431728673238e-01 -1.787874279881619122e-01 -3.914854835627832763e+00 -1.060624770428229446e+00 1.367355957733687566e+00 5.496324789726931836e-01 3.711941090182214076e+00
1.052860009088416593e+00 -7.376456217857646491e-01 2.622739484667159005e+00 -1.610469234335354938e-01 -1.608051871864604188e-01 1.490476021012217878e+00 -1.150402360665655266e+00 -1.608199397374142359e-01 -7.330592322993935150e-01 5.915853328668099209e-01 -1.757507745648807240e-01 -3.646400760885617043e+00 -1.032684693147630339e+00 4.383079652118715419e-01 6.101131553468901458e-01 4.025797800316262887e+00
1.088484001843617266e+00 -8.459175291693683540e-01 2.601617128350889541e+00 -1.582219510845760679e-01 -1.587116240059692762e-01 1.278248420653295359e+00 -1.149118277274123523e+00 -1.584046931157932492e-01 -5.431124630486663385e-01 5.651246464050408980e-01 -1.775217400328996109e-01 -3.666765340120844652e+00 -1.042528036677202508e+00 2.078403447619036615e-01 5.469067111184535701e-01 3.556570729501464800e+00
1.061097747927741475e+00 -7.716559725505209855e-01 2.526023483196635944e+00 -1.625981369777294849e-01 -1.618246002105230286e-01 1.364585647605227381e+00 -1.093598015705143700e+00 -1.621478783293874293e-01 1.622423244272559462e-01 6.516457774361283928e-01 -1.796436963847448387e-01 -4.157507406292568319e+00 -1.087332678253122520e+00 1.258861285186873680e+00 5.616281201251309696e-01 3.741579927079370815e+00
9.562618462213413606e-01 -8.128897743801193343e-01 2.465778826734073448e+00 -1.600336819787701315e-01 -1.601590102018237705e-01 1.379470445367120934e+00 -1.193677411244123743e+00 -1.595944554083430500e-01 -7.885874025457761949e-01 6.443133956372733007e-01 -1.760650390620568384e-01 -3.628867564221827102e+00 -1.165993066124581201e+00 1.065214529517065856e+00 5.269261664381589272e-01 3.653458412078859574e+00
1.008440868135949131e+00 -8.546380980366968805e-01 2.436119106300941972e+00 -1.582146472951886373e-01 -1.574886103862453979e-01 1.407126468615000903e+00 -1.091497661116419993e+00 -1.583467369140824088e-01 3.782321264440533515e-01 5.560698639847743152e-01 -1.777799921248816029e-01 -3.887594759683679069e+00 -1.176886048909034921e+00 2.366106099005974017e-01 5.326252280302878894e-01 3.457101430679855980e+00
1.041132691580713310e+00 -7.586288819105112546e-01 2.552994789541676024e+00 -1.593177346508822256e-01 -1.596698602413388623e-01 1.326066958622308611e+00 -1.230493652370057367e+00 -1.589704206728465297e-01 7.317349380596944730e-01 5.685379003662072162e-01 -1.785073646647522272e-01 -4.177819434840873924e+00 -1.212272648911359996e+00 1.103152614774124615e-02 6.029977060824047719e-01 4.089815359236017578e+00
1.091540357354461976e+00 -7.932100329568713137e-01 2.656658125764558953e+00 -1.603402201564410601e-01 -1.609039355464313981e-01 1.262853071858526910e+00 -1.127919608543427099e+00 -1.609208462185987565e-01 -1.466311193448055494e-02 5.537650159244037473e-01 -1.796095822604206749e-01 -4.103784033885003346e+00 -1.123840473341065627e+00 1.539549904191518825e+00 5.883997813130461552e-01 3.608020129543271892e+00
9.477465325939599117e-01 -7.508439749856794521e-01 2.543603881770337694e+00 -1.577945557427821444e-01 -1.585331353790525588e-01 1.353916539003557018e+00 -1.190376829318603447e+00 -1.581294962536609894e-01 -3.256169124419032723e-01 5.847158382761401541e-01 -1.791773184874465297e-01 -3.771009053541653167e+00 -1.072013220170397574e+00 1.727852430212354073e-01 5.842749592687090932e-01 3.887698832101516899e+00
1.023653573954379725e+00 -8.274857935531124697e-01 2.744744343523417118e+00 -1.595308975495833559e-01 -1.593766426399613190e-01 1.323203313207185428e+00 -1.220837092111332289e+00 -1.596859728910090537e-01 6.228322850009990752e-01 5.493876285829504269e-01 -1.763264980515153457e-01 -3.711906407476675440e+00 -1.074249282946884598e+00 7.391564087118501769e-02 5.931098418740210487e-01 3.760512432823984952e+00
9.718679672493300004e-01 -7.472792408057424840e-01 2.415466722411590883e+00 -1.620758119610985759e-01 -1.614767532489546076e-01 1.287219979029028405e+00 -1.165085279231575566e+00 -1.611419734101230683e-01 -3.578556018721380516e-01 5.692785952638516056e-01 -1.791073765286393671e-01 -4.045352082051127951e+00 -1.206357508437383430e+00 1.528931171010308177e+00 5.404350487996236740e-01 3.677257422542864251e+00
9.810175715615030434e-01 -8.228568014386876683e-01 2.324862372474483685e+00 -1.578874316425311897e-01 -1.581403213121199969e-01 1.398215656875801294e+00 -1.039341096551262611e+00 -1.575442900395693235e-01 2.618267124314852534e-01 6.285473412151464379e-01 -1.797387316052487805e-01 -3.981404179870989157e+00 -1.216788216096511110e+00 1.602582154025831152e+00 5.005621550814196574e-01 4.128671427653867632e+00
9.511535282466062613e-01 -8.504100518009669596e-01 2.289834128265002988e+00 -1.589752883953719775e-01 -1.588641605008027369e-01 1.456556788246718748e+00 -1.161360916444844404e+00 -1.592729142603148962e-01 4.492900896242157938e-01 6.532793114598485218e-01 -1.773103973988149340e-01 -3.866835418847310635e+00 -1.022009264563952469e+00 1.323258005522235603e+00 5.685117258372214266e-01 3.950035976651776970e+00
9.949948871078353463e-01 -7.671880197310599891e-01 2.677778497826244219e+00 -1.584000567908184776e-01 -1.583485354376371335e-01 1.501268218489424155e+00 -1.235352251734734619e+00 -1.579921094541845150e-01 5.358474180173162793e-01 5.602533715927007218e-01 -1.759362083827032963e-01 -3.903397401439053116e+00 -1.052204450182651962e+00 3.373046015162831091e-01 5.045019607190228683e-01 3.852503179877803774e+00
1.026719804950658288e+00 -7.635424021349409562e-01 2.424534343949012793e+00 -1.560451121911616279e-01 -1.556313480502044266e-01 1.484410031140683373e+00 -1.223805105958283290e+00 -1.555298873036254914e-01 6.892643139639134109e-01 5.833593377896619803e-01 -1.783528420710317752e-01 -4.217271851506037450e+00 -1.013959445958828809e+00 1.617757204504701507e+00 5.910543938638526118e-01 3.993962841932210850e+00
9.372028891015274921e-01 -8.364997259664800344e-01 2.673446433909675513e+00 -1.607726518141147642e-01 -1.605193325170828911e-01 1.525923587674659743e+00 -1.097637286859861838e+00 -1.604899093471637839e-01 -6.887496223445981336e-01 6.146054613741904760e-01 -1.781210788112206067e-01 -3.943123943395586473e+00 -1.092889193847755847e+00 5.493112346430604198e-01 5.312445730302510771e-01 4.083346618685112617e+00
9.528412969580133396e-01 -8.086969463421855853e-01 2.404805345108243841e+00 -1.553190305057596254e-01 -1.559073182388884815e-01 1.388848102734533185e+00 -1.210175391738111728e+00 -1.552400514254386743e-01 5.540929223548411997e-01 5.998974432392951694e-01 -1.756713239675884164e-01 -3.733140491909328063e+00 -1.027044671136833065e+00 1.412319226044935094e+00 6.092123517839593827e-01 3.969904081399987295e+00
9.987061744877441249e-01 -8.666783944620736202e-01 2.353140222603655296e+00 -1.592896478929749782e-01 -1.600793745268854484e-01 1.417758605235915681e+00 -1.203955691880553180e+00 -1.599563590536307867e-01 2.380205702674840218e-01 6.494626934800939999e-01 -1.778211726080323740e-01 -4.083265201153701618e+00 -1.170631582629539924e+00 3.781105607552397996e-01 5.896966655159325832e-01 3.647702149512335623e+00
9.456513187516281116e-01 -8.480320789576560880e-01 2.507477864309945126e+00 -1.616075123748659526e-01 -1.612298281351848828e-01 1.447659073445544786e+00 -1.154992379088946475e+00 -1.611567167769717424e-01 2.186065937451775465e-01 5.876725256831283328e-01 -1.774520623397279340e-01 -3.840880103468940820e+00 -1.147222944879868312e+00 8.563057596086298684e-01 5.782213641574710516e-01 3.620466645003786788e+00
1.057178257926504994e+00 -7.867746509119992737e-01 2.605195105811387357e+00 -1.577625597710125560e-01 -1.575563413098776955e-01 1.433443560203361056e+00 -1.069955870165089751e+00 -1.583301144951917705e-01 -2.381015147275430399e-01 6.562036789638819867e-01 -1.761035850179878959e-01 -3.897414520593782683e+00 -1.116300355460949412e+00 1.131447083279748522e+00 5.106824703447105929e-01 3.663809279955049014e+00
1.018300533097036054e+00 -7.690033006659873216e-01 2.582161240502334643e+00 -1.596283408791628333e-01 -1.591902997959294130e-01 1.486557467038681413e+00 -1.086408753368926172e+00 -1.599139204180694829e-01 4.295630279317774747e-01 6.084996295630609175e-01 -1.794169623463868490e-01 -4.052445885826901240e+00 -1.102143460996247715e+00 1.439095287143486168e-01 6.052011230416890486e-01 3.699582667702693506e+00
1.054553865753932396e+00 -7.981056282178554673e-01 2.508591860646873783e+00 -1.569069669757327534e-01 -1.565698346272494101e-01 1.446320931497383722e+00 -1.065154374591079200e+00 -1.564389183703794317e-01 -4.250081748393588765e-01 6.101168814517821115e-01 -1.784583400765838990e-01 -4.130255889817986414e+00 -1.048896188156546172e+00 1.398789472530761024e+00 5.384134329319021361e-01 3.476734971995151913e+00
1.066934644772850493e+00 -7.764993013998342519e-01 2.493656465415063028e+00 -1.633531375096718696e-01 -1.630888154128245227e-01 1.460559978771062362e+00 -1.179856536871989769e+00 -1.634262360329205299e-01 7.835573602273437910e-02 5.541278521860099060e-01 -1.780437397668889199e-01 -3.786229735749081726e+00 -1.140981698340456818e+00 8.437164587840599583e-02 5.743412320089974488e-01 3.787541096333089552e+00
9.907078111846910895e-01 -7.409812246206486375e-01 2.648661237736041230e+00 -1.597995874990105758e-01 -1.593000141101992007e-01 1.304439693140903467e+00 -1.124064112608349042e+00 -1.587938773847268337e-01 -6.519839438370245155e-01 6.240448300836533013e-01 -1.754542616341662753e-01 -3.801217674327640683e+00 -1.200864795395642837e+00 4.839565675814431339e-02 5.715284562135962698e-01 4.061262392158419665e+00
1.078827124845444185e+00 -7.336364188948365506e-01 2.399104960269626385e+00 -1.566307351202464726e-01 -1.570759842560272845e-01 1.404604661166469315e+00 -1.197279487334004910e+00 -1.560705001481128840e-01 -5.621524768483280310e-01 5.778491973245315494e-01 -1.767917383037707069e-01 -4.168486196164904456e+00 -1.163258347345634380e+00 9.344386257703948262e-01 5.531043307592804492e-01 4.043065716784409069e+00
1.004029412312653191e+00 -7.270225652430625241e-01 2.591564758480673358e+00 -1.594951372010869617e-01 -1.595309788958635122e-01 1.319060554410043551e+00 -1.024786400662919705e+00 -1.595205324667878233e-01 -5.202007366560466028e-01 6.033727428732537090e-01 -1.769080769534360775e-01 -3.757203106689512850e+00 -1.018714794439445459e+00 5.257099289410037679e-01 5.813473476222439373e-01 3.794799421975544984e+00
9.096613900313084144e-01 -8.054834382093953860e-01 2.757023881280559863e+00 -1.582264686299886536e-01 -1.588166882283017500e-01 1.504933698086663441e+00 -1.216596086614620598e+00 -1.578196824198412063e-01 -6.246879714952284779e-01 5.805198630167671681e-01 -1.789422007339484533e-01 -3.614204358781234916e+00 -1.127778472560264422e+00 1.191443287526305905e+00 5.961520248195240068e-01 3.399320878234336707e+00
9.356372752033542683e-01 -7.291774491154183746e-01 2.451202825042395617e+00 -1.629253600592530937e-01 -1.621303408937204704e-01 1.314410587846230216e+00 -1.040384605410598740e+00 -1.631058152244745374e-01 2.092966867324752567e-02 6.045389982212867608e-01 -1.785947535362912841e-01 -3.539702202492071681e+00 -1.204397061366092592e+00 1.152182920057034377e+00 5.185499742657956324e-01 3.823925251295970273e+00
9.238565649573265981e-01 -7.999280631875201886e-01 2.695769168061775911e+00 -1.620610634788523241e-01 -1.625305671802366181e-01 1.302209675935994238e+00 -1.224936583877257457e+00 -1.616401879489309246e-01 -4.381318315952492659e-01 5.640222684198270553e-01 -1.755768228710166967e-01 -3.934570015102785145e+00 -1.227081967276867802e+00 2.011594280635970455e-01 5.155147669686397371e-01 3.811524875017835434e+00
1.039203016569304694e+00 -7.605468185240183976e-01 2.572689785648819338e+00 -1.562648803916016904e-01 -1.561015132073681755e-01 1.533610578283096215e+00 -1.032119303679081668e+00 -1.555822929530679410e-01 -5.542943405499212162e-02 5.585785265193924376e-01 -1.781840258028088153e-01 -4.027564740145118449e+00 -1.080978305884951585e+00 7.260850848732481877e-01 6.018251647076993116e-01 3.502205933137394478e+00
1.049765138964190436e+00 -8.406180636829585495e-01 2.763774177323939263e+00 -1.580178193094616268e-01 -1.573305076189171758e-01 1.344697868509061145e+00 -1.185984733745663267e+00 -1.577691408728713884e-01 5.152919145064998041e-01 5.452271738748000196e-01 -1.776417341072173417e-01 -3.631216500118997992e+00 -1.134160613869110712e+00 7.124510334366798148e-01 5.283293540625360052e-01 4.020258273730894949e+00
9.859360112562386425e-01 -8.562502512545288047e-01 2.489271220191181300e+00 -1.571406243184491902e-01 -1.577495604420437458e-01 1.431357759280278419e+00 -1.170311877899662401e+00 -1.574220694060631531e-01 -7.697433356034862895e-01 5.864322048787304897e-01 -1.756268588065044711e-01 -4.240081933519774360e+00 -1.111732319191916396e+00 1.330455291623921399e+00 5.138573120813371142e-01 3.753856929037092449e+00
1.044076640808974998e+00 -8.398887132801310385e-01 2.376106971762636633e+00 -1.558296569682562915e-01 -1.562861475557978108e-01 1.346764659909115647e+00 -1.058834562599268558e+00 -1.558702086366040851e-01 8.473293788338509547e-02 6.296032460424692001e-01 -1.769353998918163084e-01 -3.827385746557230739e+00 -1.012116370816042776e+00 3.178617620687109180e-01 5.582508074368642825e-01 3.432491272749063960e+00
9.337468903066198367e-01 -7.425084321514301422e-01 2.468696757127654795e+00 -1.627067717408288428e-01 -1.631514041815587124e-01 1.438607104026415673e+00 -1.235847180119936439e+00 -1.621981752921830278e-01 -4.773849867854128015e-01 5.504487544496607931e-01 -1.776765671109000744e-01 -3.954450388189594712e+00 -1.065812371544997195e+00 8.773471958015082173e-01 5.725915116897322132e-01 4.140402946011615626e+00
1.031964975238482518e+00 -8.740107349732996189e-01 2.725223072548509595e+00 -1.624590235241676062e-01 -1.626996853725359293e-01 1.309117244238574784e+00 -1.055764931771352888e+00 -1.630648553963136849e-01 4.422713968387581573e-02 5.733013664347070826e-01 -1.761981131114020160e-01 -3.743556699722269343e+00 -1.034462161763759269e+00 4.138514039638895858e-01 5.978789489575809801e-01 3.831355209357765190e+00
1.102536807253910123e+00 -7.875340021363783638e-01 2.705005396711245069e+00 -1.572930734508105333e-01 -1.566827494243802354e-01 1.336072929687881938e+00 -1.114697895674936046e+00 -1.567373607402347546e-01 -1.752120835525095011e-02 5.939781517967549496e-01 -1.766383331293983061e-01 -4.018345393946401778e+00 -1.106305076292902534e+00 3.917458382889112412e-01 5.398945707354516621e-01 3.406348109913590605e+00
1.070110643304650999e+00 -7.318585215598319982e-01 2.391777516422665784e+00 -1.586523944601798686e-01 -1.584414856880225486e-01 1.356300838824340493e+00 -1.045582534000112584e+00 -1.580905977818552743e-01 4.804461930252386104e-01 6.010076623438415089e-01 -1.764494887491415975e-01 -4.194307591089260434e+00 -1.194765238755176595e+00 9.626782927665334944e-01 5.523152896084573271e-01 3.692465690079822505e+00
1.020023001846294575e+00 -7.921780738639697672e-01 2.538731322031419158e+00 -1.569069208984920361e-01 -1.564331853157322483e-01 1.515100127698451260e+00 -1.033387183480793947e+00 -1.561769972866680345e-01 3.242439035726603080e-01 5.480824863237929723e-01 -1.787057740931088379e-01 -3.684508817182545304e+00 -1.168973819242801637e+00 1.480987080009950052e+00 5.163072872041321038e-01 3.911622274722365233e+00
1.010364929259775835e+00 -8.760805836368859012e-01 2.787473895792875744e+00 -1.571393186784387219e-01 -1.576897403093332484e-01 1.497843172558813052e+00 -1.159446065861936992e+00 -1.575280948110881762e-01 6.636172111922720163e-01 6.602587729974459529e-01 -1.758490659166233039e-01 -3.598896586637855055e+00 -1.154969579123142021e+00 1.037305355925495221e+00 5.352109010230039488e-01 3.635616796937924722e+00
1.034621398356089683e+00 -8.300255220490828645e-01 2.566582002270180851e+00 -1.570061105967359705e-01 -1.569628661481275445e-01 1.524241480429758600e+00 -1.242935236276325517e+00 -1.569632383605852610e-01 -3.703224730366540540e-01 5.411103680919456815e-01 -1.771665621896642562e-01 -3.815227977940613080e+00 -1.144774528700027938e+00 1.442077025813151447e+00 5.087252034570576287e-01 3.897354571780593524e+00
1.072599834867720148e+00 -7.796599045170096165e-01 2.563115194544933750e+00 -1.554741215759272432e-01 -1.553731085417479063e-01 1.272525943452037289e+00 -1.240149864485016185e+00 -1.549859434448577766e-01 3.531582357657796489e-01 6.159695635674130587e-01 -1.797948739679237351e-01 -4.280945573416953920e+00 -1.057468429689915279e+00 4.941036345499317251e-01 5.828773645584428564e-01 3.842299859252737093e+00
9.054071306697075716e-01 -8.796044985766776625e-01 2.311973120170110363e+00 -1.628225232181523263e-01 -1.627198370799241844e-01 1.374612893616174336e+00 -1.085303101340759024e+00 -1.626528270277982913e-01 2.980734393431025975e-01 6.079366070750044093e-01 -1.762525472550702244e-01 -3.992288665422464966e+00 -1.232706312886064914e+00 1.559157412361940942e+00 5.655855906026625579e-01 3.484125363950431709e+00
